GEOID,NAME,STATE,ADI_US,ADI_ST,ADI_US_Scaled,ADI_ST_Scaled,st,ADI_US_rank,ADI_ST_rank
1001,Autauga County, Alabama,90.18053087,68.89851411,40.14,4.86,1,5,5
1003,Baldwin County, Alabama,83.13232749,55.59393601,36.2,4.7,1,2,2
1005,Barbour County, Alabama,133.7494456,129.7325043,64.48,5.58,1,64,64
1007,Bibb County, Alabama,111.5762627,100.9305061,52.09,5.24,1,33,33
1009,Blount County, Alabama,101.762939,87.27046463,46.61,5.08,1,13,14
1011,Bullock County, Alabama,129.978604,126.523129,62.37,5.55,1,60,61
1013,Butler County, Alabama,115.3851869,106.5194021,54.22,5.31,1,46,42
1015,Calhoun County, Alabama,109.0764202,95.9354484,50.69,5.18,1,27,25
1017,Chambers County, Alabama,113.7046752,102.7611496,53.28,5.26,1,40,38
1019,Cherokee County, Alabama,104.717104,91.7533116,48.26,5.13,1,18,20
1021,Chilton County, Alabama,112.6332281,100.8735377,52.68,5.24,1,35,32
1023,Choctaw County, Alabama,120.7295139,116.5001197,57.21,5.43,1,54,56
1025,Clarke County, Alabama,121.4389133,112.028176,57.6,5.37,1,55,53
1027,Clay County, Alabama,117.2016268,109.0825757,55.23,5.34,1,50,49
1029,Cleburne County, Alabama,104.8170291,92.56555018,48.31,5.14,1,19,21
1031,Coffee County, Alabama,99.36225708,81.21914251,45.27,5.01,1,11,11
1033,Colbert County, Alabama,103.0618388,89.65206164,47.33,5.11,1,15,17
1035,Conecuh County, Alabama,123.091699,117.5262036,58.53,5.44,1,57,57
1037,Coosa County, Alabama,107.2943521,98.88679093,49.7,5.22,1,23,27
1039,Covington County, Alabama,111.9780938,101.9818275,52.32,5.25,1,34,36
1041,Crenshaw County, Alabama,111.2940878,103.2852926,51.93,5.27,1,32,39
1043,Cullman County, Alabama,104.3094057,90.42104578,48.03,5.12,1,16,19
1045,Dale County, Alabama,108.424866,95.93916265,50.33,5.18,1,26,26
1047,Dallas County, Alabama,131.074747,126.0480872,62.99,5.54,1,62,60
1049,DeKalb County, Alabama,118.13753,110.5210833,55.76,5.36,1,51,51
1051,Elmore County, Alabama,89.83137344,67.45700235,39.94,4.84,1,4,4
1053,Escambia County, Alabama,120.463424,112.0003147,57.06,5.37,1,53,52
1055,Etowah County, Alabama,107.3258559,94.92072813,49.72,5.17,1,24,23
1057,Fayette County, Alabama,113.4840848,107.2680704,53.16,5.32,1,39,44
1059,Franklin County, Alabama,116.1698726,107.8311905,54.66,5.32,1,48,47
1061,Geneva County, Alabama,114.9059976,106.6697026,53.95,5.31,1,44,43
1063,Greene County, Alabama,144.3349353,145.3133789,70.4,5.77,1,67,67
1065,Hale County, Alabama,122.077841,113.7305196,57.96,5.39,1,56,55
